2024.10.8 14:50, 23.96, 52.17, 2, 604, 135
2024.10.8 14:50, 23.96, 52.11, 2, 608, 138
2024.10.8 15:20, 23.52, 53.62, 1, 400, 8
2024.10.8 15:50, 23.62, 53.47, 1, 411, 29
2024.10.8 16:20, 25.01, 50.7, 2, 541, 95
2024.10.8 16:50, 24.62, 51.19, 2, 523, 85
2024.10.8 17:20, 24.73, 50.98, 2, 513, 79
2024.10.8 17:50, 24.23, 52.57, 2, 608, 137
2024.10.8 18:20, 24.11, 53.25, 2, 706, 211
2024.10.8 18:50, 24.42, 52.48, 2, 622, 147
2024.10.8 19:20, 24.22, 52.88, 2, 579, 118
2024.10.8 19:50, 23.98, 53.06, 1, 484, 64
2024.10.8 20:20, 24.84, 50.54, 1, 466, 54
2024.10.8 20:50, 24.86, 50.23, 1, 441, 42
2024.10.8 21:20, 24.84, 49.72, 2, 488, 66
2024.10.8 21:51, 24.52, 49.93, 1, 455, 49
2024.10.8 22:21, 24.58, 49.43, 1, 427, 36
2024.10.8 22:51, 24.62, 49, 2, 486, 65
2024.10.8 23:21, 24.95, 47.89, 1, 463, 53
2024.10.8 23:51, 24.53, 48.37, 1, 461, 52
2024.10.9 00:21, 24.71, 47.72, 1, 447, 45
2024.10.9 00:51, 23.96, 49.32, 1, 442, 43
2024.10.9 01:21, 24.43, 48.47, 1, 408, 27
2024.10.9 01:51, 24.8, 47.82, 1, 400, 18
2024.10.9 02:21, 24.68, 48.17, 1, 411, 28
2024.10.9 02:51, 24.52, 48.44, 1, 445, 44
2024.10.9 03:21, 24.15, 49.03, 1, 454, 49
2024.10.9 03:51, 24.42, 48.27, 1, 400, 14
2024.10.9 04:21, 24.52, 48.24, 1, 400, 17
2024.10.9 04:51, 23.96, 49.42, 1, 418, 32
2024.10.9 05:21, 24.15, 49.21, 1, 443, 43
2024.10.9 05:51, 24.43, 49.01, 2, 515, 80
2024.10.9 06:21, 23.89, 50.3, 2, 547, 99
2024.10.9 06:51, 23.8, 50.42, 2, 561, 107
2024.10.9 07:21, 24.13, 49.69, 2, 529, 88
2024.10.9 07:51, 23.61, 50.56, 2, 585, 122
2024.10.9 08:21, 23.58, 49.98, 2, 548, 99
2024.10.9 08:51, 24.16, 48.55, 1, 478, 61
2024.10.9 09:21, 23.97, 48.88, 1, 471, 57
2024.10.9 09:51, 23.88, 48.92, 1, 425, 35
2024.10.9 10:21, 24.11, 48.55, 1, 453, 48
2024.10.9 10:51, 23.54, 49.53, 1, 460, 51
2024.10.9 11:21, 23.77, 48.8, 1, 454, 49
2024.10.9 11:51, 24.21, 48.38, 2, 524, 85
2024.10.9 12:21, 24, 48.66, 1, 464, 54
2024.10.9 12:51, 24.04, 48.42, 2, 499, 72
2024.10.9 13:21, 24.06, 48.38, 2, 518, 82
2024.10.9 13:51, 24.54, 47.38, 2, 541, 95
2024.10.9 14:21, 24.03, 48.13, 2, 524, 85
2024.10.9 14:51, 24.41, 47.53, 2, 548, 99
2024.10.9 15:21, 24.4, 47.64, 2, 570, 112
2024.10.9 15:51, 24.62, 47.57, 2, 568, 111
2024.10.9 16:21, 24.94, 46.98, 2, 597, 130
2024.10.9 16:51, 24.5, 47.94, 2, 624, 148
2024.10.9 17:21, 25, 47, 2, 658, 172
2024.10.9 17:51, 24.91, 47.38, 2, 705, 209
2024.10.9 18:21, 24.86, 47.78, 2, 693, 200
