2024.10.8 14:18, 23.38, 72.24, 1, 400, 16
2024.10.8 14:48, 24.1, 67.65, 1, 430, 37
2024.10.8 15:18, 24.11, 67.77, 1, 411, 29
2024.10.8 15:48, 24.43, 66.68, 1, 480, 61
2024.10.8 16:18, 24.68, 66.45, 2, 567, 110
2024.10.8 16:48, 24.44, 67.2, 2, 548, 99
2024.10.8 17:18, 24.6, 66.51, 2, 610, 139
2024.10.8 17:48, 24.42, 67.13, 2, 575, 116
2024.10.8 18:18, 24.23, 67.68, 2, 514, 80
2024.10.8 18:48, 24.11, 68.01, 2, 501, 73
2024.10.8 19:18, 24.01, 68.53, 1, 428, 36
2024.10.8 19:48, 23.67, 69.18, 1, 417, 31
2024.10.8 20:18, 23.7, 68.71, 1, 423, 34
2024.10.8 20:48, 23.52, 68.73, 1, 421, 33
2024.10.8 21:18, 23.65, 67.78, 1, 440, 42
2024.10.8 21:48, 23.67, 67.15, 1, 467, 55
2024.10.8 22:18, 23.61, 66.53, 1, 421, 33
2024.10.8 22:48, 23.42, 66.68, 1, 434, 39
2024.10.8 23:18, 23.33, 66.45, 1, 412, 29
2024.10.8 23:48, 23.27, 66.01, 1, 429, 36
2024.10.9 00:18, 23.42, 65.37, 1, 408, 27
2024.10.9 00:48, 23.18, 65.38, 1, 408, 27
2024.10.9 01:18, 23.51, 64.38, 1, 424, 34
2024.10.9 01:48, 23.84, 63.15, 1, 434, 39
2024.10.9 02:18, 23.67, 63.48, 1, 406, 26
2024.10.9 02:48, 23.25, 64.52, 1, 424, 34
2024.10.9 03:18, 23.24, 64.11, 1, 400, 19
2024.10.9 03:48, 23.35, 63.67, 1, 441, 42
2024.10.9 04:18, 23.49, 63.33, 1, 448, 46
2024.10.9 04:48, 23.16, 64.26, 1, 438, 41
2024.10.9 05:18, 23.44, 63.8, 1, 470, 56
2024.10.9 05:48, 23.32, 64.85, 2, 506, 75
2024.10.9 06:18, 23.23, 65.34, 2, 524, 86
2024.10.9 06:48, 23.17, 65.52, 2, 504, 74
2024.10.9 07:18, 23.28, 65.07, 2, 540, 94
2024.10.9 07:48, 22.75, 66.17, 2, 516, 81
2024.10.9 08:18, 22.77, 65.24, 1, 482, 63
2024.10.9 08:48, 22.8, 64.77, 1, 427, 36
2024.10.9 09:18, 22.85, 64.63, 1, 441, 42
2024.10.9 09:48, 23.03, 64.43, 2, 501, 73
2024.10.9 10:18, 22.95, 64.7, 1, 481, 62
2024.10.9 10:48, 23, 64.32, 1, 479, 61
2024.10.9 11:18, 23.2, 63.64, 2, 505, 75
2024.10.9 11:48, 23.6, 62.7, 2, 495, 70
2024.10.9 12:18, 24.27, 61.28, 2, 566, 110
2024.10.9 12:48, 23.87, 62, 2, 517, 81
2024.10.9 13:18, 24.05, 61.22, 2, 508, 76
2024.10.9 13:48, 24.24, 60.28, 2, 492, 68
2024.10.9 14:18, 24.51, 59.52, 2, 540, 94
2024.10.9 14:48, 24.47, 59.68, 2, 514, 80
2024.10.9 15:18, 24.48, 59.59, 2, 572, 114
2024.10.9 15:48, 24.58, 59.28, 2, 492, 68
2024.10.9 16:18, 24.61, 59.5, 2, 538, 93
2024.10.9 16:48, 24.61, 59.63, 2, 517, 81
2024.10.9 17:18, 24.58, 59.95, 2, 532, 90
2024.10.9 17:48, 24.46, 60.37, 2, 502, 73
2024.10.9 18:18, 24.36, 60.92, 2, 501, 72
2024.10.9 18:48, 24.25, 61.43, 2, 513, 79
2024.10.9 19:18, 24.44, 61.15, 2, 584, 121
2024.10.9 19:48, 24.2, 62.1, 2, 573, 115
2024.10.9 20:18, 24.36, 62.42, 2, 616, 143
2024.10.9 20:48, 24.02, 64.15, 2, 575, 115
2024.10.9 21:18, 23.7, 65.59, 2, 564, 109
2024.10.9 21:48, 23.96, 64.62, 2, 508, 76
2024.10.9 22:18, 23.81, 65.11, 2, 572, 114
2024.10.9 22:48, 23.45, 66.03, 2, 532, 90
2024.10.9 23:18, 23.45, 65.68, 2, 544, 97
2024.10.9 23:48, 23.62, 64.92, 2, 515, 80
2024.10.10 00:18, 23.93, 63.92, 2, 500, 72
2024.10.10 00:48, 23.66, 64.47, 1, 470, 57
2024.10.10 01:18, 23.52, 64.9, 2, 487, 65
2024.10.10 01:48, 23.52, 64.65, 1, 467, 55
2024.10.10 02:18, 23.49, 64.8, 1, 456, 49
2024.10.10 02:48, 23.34, 65.03, 1, 433, 39
2024.10.10 03:18, 23.27, 64.98, 1, 436, 40
2024.10.10 03:48, 23.67, 63.75, 1, 419, 32
2024.10.10 04:18, 23.41, 64.65, 1, 424, 35
2024.10.10 04:48, 23.25, 65.15, 1, 450, 47
2024.10.10 05:18, 23.18, 65.24, 1, 429, 37
2024.10.10 05:48, 23.22, 64.61, 1, 407, 27
2024.10.10 06:18, 23.05, 65, 1, 404, 25
2024.10.10 06:49, 23.04, 64.73, 1, 420, 33
2024.10.10 07:19, 23.14, 64.6, 1, 455, 49
2024.10.10 07:49, 23.05, 64.71, 2, 490, 67
2024.10.10 08:19, 23.16, 64.72, 2, 587, 123
2024.10.10 08:49, 23.17, 64.18, 2, 541, 95
2024.10.10 09:19, 23.13, 64.71, 2, 615, 142
2024.10.10 09:49, 23.67, 63.05, 2, 661, 175
2024.10.10 10:19, 23.71, 62.08, 2, 584, 121
2024.10.10 10:49, 23.68, 58.79, 1, 454, 48
2024.10.10 11:19, 23.96, 58.05, 1, 463, 53
2024.10.10 11:49, 23.94, 58.95, 2, 524, 86
2024.10.10 12:19, 23.79, 60.33, 2, 586, 122
2024.10.10 12:49, 23.8, 60.85, 2, 614, 142
2024.10.10 13:19, 24.33, 60.04, 2, 611, 139
2024.10.10 13:49, 24.08, 61.1, 2, 609, 138
2024.10.10 14:19, 24.65, 59.79, 2, 612, 140
2024.10.10 14:49, 24.66, 60.08, 2, 650, 166
2024.10.10 15:19, 24.6, 60.09, 2, 655, 171
2024.10.10 15:49, 24.59, 60.47, 2, 680, 190
2024.10.10 16:19, 24.66, 60.4, 2, 661, 175
2024.10.10 16:49, 24.75, 60.36, 2, 654, 170
2024.10.10 17:19, 24.61, 60.85, 2, 659, 173
2024.10.10 17:49, 24.56, 61.17, 2, 620, 146
2024.10.10 18:19, 24.58, 61.24, 2, 630, 152
2024.10.10 18:49, 24.56, 61.52, 2, 632, 154
2024.10.10 19:19, 24.67, 61.87, 2, 639, 159
2024.10.10 19:49, 24.68, 62.28, 2, 651, 168
2024.10.10 20:19, 24.57, 63.18, 2, 673, 184
2024.10.10 20:49, 24.39, 64.3, 2, 658, 173
2024.10.10 21:19, 24.51, 64.09, 2, 676, 186
2024.10.10 21:49, 24.41, 64.95, 2, 654, 170
2024.10.10 22:19, 24.16, 66.29, 2, 638, 158
2024.10.10 22:49, 24.2, 65.91, 2, 633, 154
2024.10.10 23:19, 24.28, 65.94, 2, 608, 137
