2024-10-9 2:50:25, 26.39, 80.06, 1, 400, 15
2024-10-9 3:5:25, 29.33, 53.45, 1, 453, 48
2024-10-9 3:20:26, 29.54, 52.20, 2, 565, 110
2024-10-9 3:35:26, 29.31, 51.99, 1, 432, 38
2024-10-9 3:50:26, 29.01, 52.25, 1, 423, 34
2024-10-9 4:5:26, 28.85, 52.53, 1, 448, 45
2024-10-9 4:20:27, 28.84, 52.92, 2, 489, 66
2024-10-9 4:35:27, 28.75, 53.38, 2, 527, 87
2024-10-9 4:50:27, 28.72, 53.18, 2, 486, 65
2024-10-9 5:5:27, 28.63, 53.30, 2, 495, 70
2024-10-9 5:20:28, 28.53, 52.80, 1, 483, 63
2024-10-9 5:35:28, 28.54, 52.96, 1, 456, 49
2024-10-9 5:50:28, 28.51, 53.18, 2, 534, 91
2024-10-9 6:5:28, 28.41, 53.02, 2, 538, 94
2024-10-9 6:20:29, 28.35, 52.38, 1, 427, 36
2024-10-9 6:35:29, 28.38, 52.83, 2, 497, 70
2024-10-9 6:50:29, 28.32, 52.53, 1, 443, 43
2024-10-9 7:5:29, 28.31, 52.73, 1, 462, 52
2024-10-9 7:20:30, 28.23, 52.88, 1, 481, 62
2024-10-9 7:35:30, 28.23, 53.24, 2, 544, 97
2024-10-9 7:50:30, 28.24, 53.55, 2, 510, 78
2024-10-9 8:5:31, 28.26, 53.49, 2, 522, 84
2024-10-9 8:20:31, 28.28, 53.28, 2, 523, 85
2024-10-9 8:35:31, 28.21, 53.15, 2, 514, 80
2024-10-9 8:50:32, 28.25, 53.18, 2, 522, 84
2024-10-9 9:5:32, 28.26, 53.68, 2, 520, 83
2024-10-9 9:20:32, 28.29, 54.13, 2, 504, 74
2024-10-9 9:35:32, 28.30, 53.92, 2, 513, 79
2024-10-9 9:50:33, 28.31, 53.40, 1, 475, 59
2024-10-9 10:5:33, 28.33, 53.11, 1, 473, 58
2024-10-9 10:20:33, 28.32, 52.85, 2, 490, 67
2024-10-9 10:35:33, 28.32, 52.56, 1, 473, 58
2024-10-9 10:50:34, 28.34, 53.12, 1, 482, 63
2024-10-9 11:5:34, 28.34, 53.55, 1, 470, 56
2024-10-9 11:20:34, 28.32, 50.90, 1, 400, 0
2024-10-9 11:35:34, 28.26, 49.40, 1, 400, 0
2024-10-9 11:50:35, 28.24, 49.13, 1, 400, 0
2024-10-9 12:5:35, 28.28, 49.47, 3, 824, 366
2024-10-9 12:20:35, 28.33, 49.11, 1, 400, 7
2024-10-9 12:35:36, 28.62, 54.23, 2, 551, 101
2024-10-9 12:50:36, 28.84, 55.55, 2, 619, 145
2024-10-9 13:5:36, 28.94, 54.06, 2, 514, 80
2024-10-9 13:20:37, 29.06, 53.13, 1, 400, 20
2024-10-9 13:35:37, 28.78, 47.59, 1, 400, 0
2024-10-9 13:50:37, 28.82, 47.81, 1, 400, 21
2024-10-9 14:5:37, 28.77, 45.76, 1, 400, 0
2024-10-9 14:20:38, 28.80, 45.38, 1, 400, 0
2024-10-9 14:35:38, 28.58, 44.41, 1, 400, 0
2024-10-9 14:50:38, 28.38, 43.43, 1, 400, 0
2024-10-9 15:5:39, 28.54, 44.99, 1, 400, 20
2024-10-9 15:20:39, 28.44, 44.46, 1, 400, 8
2024-10-9 15:35:39, 28.35, 44.86, 1, 400, 14
2024-10-9 15:50:39, 28.36, 43.52, 1, 400, 12
2024-10-9 16:5:40, 28.37, 43.50, 1, 409, 28
2024-10-9 16:20:40, 28.27, 43.03, 1, 400, 13
2024-10-9 16:35:40, 28.32, 43.51, 1, 414, 30
2024-10-9 16:50:41, 28.37, 44.45, 2, 510, 78
2024-10-9 17:5:41, 28.36, 44.25, 2, 578, 117
2024-10-9 17:20:41, 28.31, 43.60, 2, 582, 120
2024-10-9 17:35:41, 28.34, 43.47, 2, 545, 97
2024-10-9 17:50:42, 28.43, 44.58, 2, 634, 155
2024-10-9 18:5:42, 28.44, 44.83, 2, 663, 177
2024-10-9 18:20:42, 28.41, 44.75, 2, 668, 180
2024-10-9 18:35:43, 28.43, 45.42, 2, 695, 202
2024-10-9 18:50:43, 28.43, 45.34, 2, 715, 218
2024-10-9 19:5:43, 28.43, 45.42, 2, 684, 193
2024-10-9 19:20:44, 28.58, 46.33, 3, 802, 302
2024-10-9 19:35:44, 28.49, 46.56, 3, 741, 240
2024-10-9 19:50:44, 28.56, 46.85, 3, 742, 242
2024-10-9 20:5:44, 28.41, 47.03, 3, 858, 473
2024-10-9 20:20:45, 28.41, 46.56, 4, 1140, 1614
2024-10-9 20:35:45, 28.38, 46.57, 3, 791, 287
2024-10-9 20:50:45, 28.39, 46.91, 3, 832, 392
2024-10-9 21:5:46, 28.36, 46.80, 3, 806, 315
2024-10-9 21:20:46, 28.36, 46.88, 3, 790, 287
2024-10-9 21:35:46, 28.36, 47.08, 3, 800, 296
2024-10-9 21:50:46, 28.36, 46.90, 3, 810, 327
2024-10-9 22:5:47, 28.34, 46.66, 3, 830, 386
2024-10-9 22:20:47, 28.31, 46.95, 3, 798, 294
2024-10-9 22:35:47, 28.30, 47.16, 3, 762, 260
2024-10-9 22:50:48, 28.24, 47.56, 2, 685, 194
2024-10-9 23:5:48, 28.36, 48.77, 3, 756, 254
2024-10-9 23:20:48, 28.37, 49.02, 3, 756, 254
2024-10-9 23:35:49, 28.47, 51.70, 3, 828, 380
2024-10-9 23:50:49, 28.60, 53.15, 3, 845, 431
2024-10-10 0:5:49, 28.71, 52.01, 3, 846, 436
2024-10-10 0:20:50, 28.96, 50.88, 4, 1067, 1277
2024-10-10 0:35:50, 29.31, 50.30, 3, 892, 588
2024-10-10 1:37:41, 26.98, 65.83, 1, 400, 0
2024-10-10 1:52:41, 29.56, 51.73, 1, 447, 45
2024-10-10 2:7:42, 29.88, 49.84, 1, 448, 46
2024-10-10 2:22:42, 29.79, 50.84, 2, 563, 109
2024-10-10 2:37:42, 29.63, 51.97, 2, 599, 131
2024-10-10 2:52:42, 29.53, 52.85, 2, 691, 198
2024-10-10 3:7:43, 29.42, 53.46, 2, 663, 176
2024-10-10 3:22:43, 29.26, 53.25, 2, 642, 161
2024-10-10 3:37:43, 29.19, 54.56, 2, 630, 153
2024-10-10 3:52:44, 29.15, 54.39, 2, 610, 139
2024-10-10 4:7:44, 29.00, 54.61, 2, 627, 150
2024-10-10 4:22:44, 29.02, 54.57, 2, 645, 163
2024-10-10 4:37:44, 29.01, 54.25, 2, 618, 144
2024-10-10 4:52:45, 28.94, 53.63, 2, 652, 168
2024-10-10 5:7:45, 28.90, 53.32, 3, 802, 304
2024-10-10 5:22:45, 28.85, 52.87, 2, 677, 187
2024-10-10 5:37:46, 28.81, 53.28, 2, 637, 157
2024-10-10 5:52:46, 28.75, 52.88, 2, 570, 112
2024-10-10 6:7:46, 28.76, 52.82, 2, 564, 109
2024-10-10 6:22:46, 28.75, 52.64, 2, 589, 125
2024-10-10 6:37:47, 28.74, 52.04, 2, 666, 179
2024-10-10 6:52:47, 28.65, 51.28, 2, 591, 126
2024-10-10 7:7:47, 28.67, 51.27, 2, 559, 106
2024-10-10 7:22:48, 28.67, 51.16, 2, 589, 125
2024-10-10 7:37:48, 28.62, 51.12, 4, 1185, 1838
2024-10-10 7:52:48, 28.59, 51.10, 4, 1137, 1599
2024-10-10 8:7:48, 28.60, 50.70, 4, 915, 666
2024-10-10 8:22:49, 28.71, 50.61, 4, 969, 868
2024-10-10 8:37:49, 28.70, 50.65, 3, 852, 454
2024-10-10 8:52:49, 28.67, 50.69, 3, 796, 292
2024-10-10 9:7:50, 28.71, 50.56, 2, 708, 212
2024-10-10 9:22:50, 28.72, 50.13, 2, 640, 159
2024-10-10 9:37:50, 28.71, 49.91, 2, 557, 104
2024-10-10 9:52:51, 28.77, 49.31, 2, 555, 103
2024-10-10 10:7:51, 28.68, 48.80, 4, 992, 962
2024-10-10 10:22:51, 28.67, 48.98, 4, 1113, 1489
2024-10-10 10:37:51, 28.68, 49.17, 4, 1033, 1129
2024-10-10 10:52:52, 28.71, 48.95, 3, 907, 641
2024-10-10 11:7:52, 28.71, 48.88, 3, 830, 385
2024-10-10 11:22:52, 28.71, 49.02, 3, 755, 253
2024-10-10 11:37:53, 28.74, 49.38, 2, 683, 192
2024-10-10 11:52:53, 28.76, 49.70, 2, 629, 152
2024-10-10 12:7:53, 28.77, 49.74, 2, 580, 119
2024-10-10 12:22:53, 28.80, 49.60, 3, 874, 525
